name,speed,elbow_speed,acc,elbow_acc,toolnum,workpiecenum,j1,j2,j3,j4,j5,j6,E1,E2,E3,E4,x,y,z,rx,ry,rz
home_initial,100,100,100,100,0,0,92.223,-134.075,131.596,2.917,95.460,-89.878,0.000,0.000,0.000,0.000,99.999,-195.001,370.661,169.561,89.557,76.324
pHome,100,100,100,100,0,0,92.223,-134.075,131.596,2.917,95.460,-89.878,0.000,0.000,0.000,0.000,99.999,-195.000,370.661,169.561,89.556,76.324
single_bottle_rotate45,100,100,100,100,0,0,92.215,-134.072,131.594,45.000,95.448,-89.875,0.000,0.000,0.000,0.000,96.327,-100.229,330.786,-174.688,47.490,92.030
filler_under_approach,100,100,100,100,0,0,77.532,-74.047,92.970,28.268,78.513,-95.205,0.000,0.000,0.000,0.000,14.997,-497.007,289.996,173.348,43.631,84.588
filler_edge,100,100,100,100,0,0,77.532,-75.010,90.577,31.621,78.513,-95.204,0.000,0.000,0.000,0.000,14.997,-497.000,313.998,173.347,43.634,84.586
filler_insert,100,100,100,100,0,0,77.532,-75.817,87.873,35.128,78.510,-95.204,0.000,0.000,0.000,0.000,14.997,-497.007,339.004,173.345,43.638,84.586
bottle1_grab,100,100,100,100,0,0,90.104,-77.245,149.903,-60.867,90.541,-90.070,0.000,0.000,0.000,0.000,101.500,-288.715,67.883,-179.124,78.208,90.446
bottle2_grab,100,100,100,100,0,0,72.470,-78.986,153.091,-61.787,73.287,-93.776,0.000,0.000,0.000,0.000,46.0,-288.719,67.880,-179.126,78.208,90.446
bottle3_grab,100,100,100,100,0,0,54.018,-78.950,153.486,-60.148,55.323,-98.485,0.000,0.000,0.000,0.000,-13.0,-288.717,67.881,-179.131,78.207,90.441
bottle1_approach,100,100,100,100,0,0,90.104,-92.734,146.824,-42.299,90.541,-90.070,0.000,0.000,0.000,0.000,101.498,-288.711,135.0,-179.124,78.208,90.446
bottle2_approach,100,100,100,100,0,0,72.470,-96.050,149.726,-41.358,73.289,-93.776,0.000,0.000,0.000,0.000,46.0,-288.717,135.0,-179.124,78.208,90.447
bottle3_approach,100,100,100,100,0,0,54.018,-96.278,150.119,-39.454,55.326,-98.485,0.000,0.000,0.000,0.000,-13.0,-288.715,135.0,-179.128,78.207,90.442
home_forward,100,100,100,100,0,0,91.772,-129.750,130.375,-0.187,95.008,-89.882,0.000,0.000,0.000,0.000,100.002,-220.000,370.661,169.629,89.556,76.393
home_backward,100,100,100,100,0,0,92.970,-138.365,132.550,6.253,96.205,-89.873,0.000,0.000,0.000,0.000,100.001,-170.002,370.661,169.625,89.557,76.388
home_up,100,100,100,100,0,0,92.223,-133.766,127.979,6.226,95.459,-89.878,0.000,0.000,0.000,0.000,100.001,-195.006,394.994,169.619,89.556,76.382
home_down,100,100,100,100,0,0,92.223,-134.127,135.331,-0.766,95.458,-89.878,0.000,0.000,0.000,0.000,100.005,-195.005,345.002,169.595,89.556,76.360
home_left,100,100,100,100,0,0,75.404,-139.049,132.679,6.815,78.642,-90.007,0.000,0.000,0.000,0.000,74.998,-195.005,370.656,169.578,89.556,76.340
home_right,100,100,100,100,0,0,104.909,-129.349,130.249,-0.441,108.147,-89.776,0.000,0.000,0.000,0.000,124.997,-195.006,370.658,169.453,89.557,76.214

