name,speed,elbow_speed,acc,elbow_acc,toolnum,workpiecenum,j1,j2,j3,j4,j5,j6,E1,E2,E3,E4,x,y,z,rx,ry,rz
template2,60,60,180,180,0,0,88.625,-86.216,84.465,1.810,94.176,7.379,0,0,0,0,109.954,-527.277,489.037,90.060,-7.375,-5.558
template3,60,60,180,180,0,0,50.940,-85.860,84.472,1.419,93.941,7.380,0,0,0,0,-236.751,-486.917,486.410,90.030,-7.378,-43.005
template4,60,60,180,180,0,0,50.975,-56.614,84.472,-28.579,89.379,7.379,0,0,0,0,-330.321,-615.766,224.583,89.273,-7.370,-38.311
template1,60,60,180,180,0,0,88.622,-58.314,84.638,-27.931,87.771,7.401,0,0,0,0,117.527,-685.042,242.379,88.382,-7.336,1.059
seamPos,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cvrCatchPoint,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cvrRaisePoint,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pauPt1,100,100,100,100,0,0,40.245,-110.965,136.534,-212.216,-80.090,-0.148,0.000,0.000,0.000,0.000,-145.090,-278.999,491.213,-83.451,-1.289,140.072
pauPoint2,100,100,100,100,0,0,40.301,-110.184,153.574,-212.198,-80.090,-0.147,0.000,0.000,0.000,0.000,-119.420,-257.605,360.418,-101.028,1.770,140.054
pauPoint3,100,100,100,100,0,0,40.299,-105.864,148.263,-135.151,-80.093,-0.145,0.000,0.000,0.000,0.000,-138.701,-273.939,199.913,-177.181,9.889,130.927
pauPoint4,100,100,100,100,0,0,40.565,-118.714,136.980,-130.939,-91.384,-0.147,0.000,0.000,0.000,0.000,-166.733,-273.708,347.256,-157.325,-1.333,130.167
pauPoint5,100,100,100,100,0,0,75.603,-89.847,151.320,-157.359,-88.420,-0.149,0.000,0.000,0.000,0.000,26.274,-318.721,139.915,-174.107,1.556,165.913
pauPoint6,100,100,100,100,0,0,109.645,-66.526,136.754,-165.910,-86.378,-0.147,0.000,0.000,0.000,0.000,241.404,-354.210,79.874,-174.298,3.589,-159.850
test2,100,100,100,100,0,0,77.691,-104.336,134.796,-174.526,-96.387,-86.011,0.000,0.000,0.000,0.000,8.382,-387.236,387.406,179.135,-54.318,-109.115
test3,100,100,100,100,0,0,77.687,-104.353,139.800,-164.442,-96.391,-86.012,0.000,0.000,0.000,0.000,12.039,-370.318,321.003,176.848,-39.326,-107.440
safePoint1,100,100,100,100,0,0,35.838,-118.352,131.956,-145.883,-111.205,-100.962,0.000,0.000,0.000,0.000,-222.145,-241.322,432.300,150.475,-37.559,-131.239
test4,100,100,100,100,0,0,87.131,-111.574,138.761,-205.620,-93.732,-0.162,0.000,0.000,0.000,0.000,80.326,-302.830,466.025,-91.564,-0.264,173.405
test5,100,100,100,100,0,0,87.131,-111.573,138.762,-205.620,-93.731,-0.162,0.000,0.000,0.000,0.000,80.328,-302.830,466.020,-91.565,-0.264,173.406
test6,100,100,100,100,0,0,87.042,-116.817,139.873,-203.925,-92.475,-31.747,0.000,0.000,0.000,0.000,83.473,-275.561,480.193,-88.980,-31.705,174.030
test7,100,100,100,100,0,0,87.042,-116.817,139.874,-203.925,-92.474,-31.746,0.000,0.000,0.000,0.000,83.478,-275.562,480.186,-88.981,-31.705,174.032
test8,100,100,100,100,0,0,87.041,-116.815,139.874,-203.922,-92.475,-31.746,0.000,0.000,0.000,0.000,83.470,-275.580,480.168,-88.987,-31.704,174.034
test9,100,100,100,100,0,0,87.041,-116.815,139.874,-203.921,-92.475,-31.746,0.000,0.000,0.000,0.000,83.470,-275.580,480.170,-88.988,-31.705,174.034
test10,100,100,100,100,0,0,87.041,-116.815,139.874,-203.921,-92.475,-31.746,0.000,0.000,0.000,0.000,83.467,-275.582,480.169,-88.988,-31.704,174.033
p1,100,100,100,100,0,0,88.273,-109.365,123.534,-13.836,94.623,-83.655,0.000,0.000,0.000,0.000,83.477,-344.576,352.542,93.020,83.674,-3.348
Pt1GRIPTEST,100,100,100,100,0,0,88.274,-109.368,123.530,-13.835,94.623,-83.655,0.000,0.000,0.000,0.000,83.480,-344.581,352.594,92.961,83.673,-3.406
pt2GRIPTEST,100,100,100,100,0,0,88.383,-69.053,144.755,-74.826,92.338,-83.654,0.000,0.000,0.000,0.000,87.961,-350.784,61.431,97.921,83.629,3.918
point2GRIPPERTESTCorrect,100,100,100,100,0,0,88.335,-68.353,144.817,-74.670,92.381,-87.272,0.000,0.000,0.000,0.000,87.647,-348.902,56.713,124.075,86.798,29.986
pHome,100,100,100,100,0,0,90.183,-145.001,135.000,10.002,100.000,-90.000,0.000,0.000,0.000,0.000,84.918,-140.097,361.454,-170.000,89.999,90.183
bottlepickUp,100,100,100,100,0,0,79.674,-74.359,129.251,-27.553,84.586,-90.010,0.000,0.000,0.000,0.000,40.872,-397.182,100.433,174.606,62.662,79.696
bottlepickUp2,100,100,100,100,0,0,79.764,-85.010,129.217,-27.543,84.586,-90.012,0.000,0.000,0.000,0.000,40.939,-400.211,172.384,174.624,73.337,79.804
bottlePickUp3,100,100,100,100,0,0,79.900,-79.099,121.403,-39.705,84.491,-90.005,0.000,0.000,0.000,0.000,27.818,-480.074,195.848,174.591,87.402,80.000
fillerFinalPt,100,100,100,100,0,0,79.886,-83.121,119.628,-35.198,84.590,-90.006,0.000,0.000,0.000,0.000,27.817,-478.412,233.498,174.846,88.692,80.142
fillerStartPt,100,100,100,100,0,0,79.885,-83.121,125.000,-35.279,84.591,-90.005,0.000,0.000,0.000,0.000,33.691,-445.450,196.233,174.632,83.400,79.926
bottlepickUpBOX,100,100,100,100,0,0,90.451,-77.196,149.814,-60.826,90.879,-89.999,0.000,0.000,0.000,0.000,102.656,-288.710,67.883,-179.125,78.208,90.446
bottlepickUpBOX_pt2,100,100,100,100,0,0,90.446,-96.990,149.806,-60.831,91.880,-89.990,0.000,0.000,0.000,0.000,100.967,-300.130,170.945,1.951,81.985,-89.482
bottlepickUpBOX_pt3,100,100,100,100,0,0,81.335,-76.409,123.431,-51.235,88.781,-89.990,0.000,0.000,0.000,0.000,31.037,-487.068,180.578,-1.086,85.787,-98.532
bottlepickUpBOX_pt4,100,100,100,100,0,0,81.729,-80.764,122.606,-45.475,88.854,-89.987,0.000,0.000,0.000,0.000,35.349,-479.318,211.374,-0.947,86.367,-98.072
boxbottle_pt3NEW,100,100,100,100,0,0,81.792,-77.451,122.633,-45.456,88.852,-89.990,0.000,0.000,0.000,0.000,35.532,-481.687,183.939,0.991,89.726,-96.069
bottlepickUpBOX_pt4NEW,100,100,100,100,0,0,81.729,-81.600,122.606,-45.475,88.854,-89.988,0.000,0.000,0.000,0.000,35.481,-478.411,218.210,-0.990,85.532,-98.115
test1,100,100,100,100,0,0,90.445,-96.989,149.806,-60.831,91.880,-89.990,0.000,0.000,0.000,0.000,100.961,-300.130,170.939,1.953,81.986,-89.482
