row,0,1,2,3,4,5
1,-296.5,-296.0,-295.0,-294.5,-292.5,-291.5
2,-309.0,-310.0,-311.0,-313.0,-313.5,
3,-330.5,-330.0,-328.5,-327.5,-326.0,-324.0
4,-341.0,-342.5,-345.0,-345.5,-347.0,
5,-363.0,-362.5,-361.5,-360.5,-359.0,-357.0
6,-374.5,-376.5,-378.0,-378.5,-380.0,
7,-397.0,-396.5,-395.5,-393.0,-392.0,-390.0
8,-407.0,-409.0,-410.5,-412.0,-413.5,
9,-430.0,-429.5,-428.5,-426.0,-425.0,-423.0
10,-440.0,-442.0,-443.5,-445.0,-445.5,
11,-463.0,-461.5,-459.5,-459.0,-458.0,-456.0
12,-474.0,-476.0,-476.0,-477.5,-479.0,
13,-496.5,-495.0,-493.0,-492.5,-491.5,-489.5
14,-507.5,-508.0,-509.5,-510.5,-512.0,
15,-528.5,-527.0,-526.0,-525.5,-524.5,-522.5
16,-540.5,-542.0,-566.5,-568.25,-544.0,
