name,speed,elbow_speed,acc,elbow_acc,toolnum,workpiecenum,j1,j2,j3,j4,j5,j6,E1,E2,E3,E4,x,y,z,rx,ry,rz
seamPos,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home_initial,100,100,100,100,0,0,92.223,-134.075,131.596,2.917,95.460,-89.878,0.000,0.000,0.000,0.000,99.999,-195.001,370.661,169.561,89.557,76.324
pHome,100,100,100,100,0,0,92.223,-134.075,131.596,2.917,95.460,-89.878,0.000,0.000,0.000,0.000,99.999,-195.000,370.661,169.561,89.556,76.324
home_forward,100,100,100,100,0,0,91.772,-129.750,130.375,-0.187,95.008,-89.882,0.000,0.000,0.000,0.000,100.002,-220.000,370.661,169.629,89.556,76.393
home_backward,100,100,100,100,0,0,92.970,-138.365,132.550,6.253,96.205,-89.873,0.000,0.000,0.000,0.000,100.001,-170.002,370.661,169.625,89.557,76.388
home_up,100,100,100,100,0,0,92.223,-133.766,127.979,6.226,95.459,-89.878,0.000,0.000,0.000,0.000,100.001,-195.006,394.994,169.619,89.556,76.382
home_down,100,100,100,100,0,0,92.223,-134.127,135.331,-0.766,95.458,-89.878,0.000,0.000,0.000,0.000,100.005,-195.005,345.002,169.595,89.556,76.360
home_left,100,100,100,100,0,0,75.404,-139.049,132.679,6.815,78.642,-90.007,0.000,0.000,0.000,0.000,74.998,-195.005,370.656,169.578,89.556,76.340
home_right,100,100,100,100,0,0,104.909,-129.349,130.249,-0.441,108.147,-89.776,0.000,0.000,0.000,0.000,124.997,-195.006,370.658,169.453,89.557,76.214
filler_under_approach,100,100,100,100,0,0,77.532,-74.047,92.970,28.268,78.513,-95.205,0.000,0.000,0.000,0.000,14.997,-497.007,289.996,173.348,43.631,84.588
single_bottle_approach,100,100,100,100,0,0,72.457,-82.911,116.007,12.793,79.898,-98.756,0.000,0.000,0.000,0.000,-0.114,-397.001,215.005,178.500,45.000,84.694
single_bottle2_grab,100,100,100,100,0,0,66.447,-75.100,121.045,0.884,75.750,-103.203,0.000,0.000,0.000,0.000,-34.006,-395.001,136.998,178.500,45.000,84.692
single_bottle2_approach,100,100,100,100,0,0,66.447,-82.747,116.030,13.545,75.749,-103.203,0.000,0.000,0.000,0.000,-34.008,-395.004,214.993,178.499,45.000,84.691
single_bottle3_grab,100,100,100,100,0,0,60.540,-74.453,120.485,2.067,71.753,-107.736,0.000,0.000,0.000,0.000,-68.499,-392.501,136.999,178.499,45.000,84.691
single_bottle3_approach,100,100,100,100,0,0,60.540,-82.084,115.545,14.637,71.752,-107.736,0.000,0.000,0.000,0.000,-68.499,-392.506,214.997,178.498,45.000,84.691
single_bottle_grab_mid,100,100,100,100,0,0,72.243,-75.457,121.191,0.185,79.745,-98.910,0.000,0.000,0.000,0.000,-1.005,-396.010,137.506,178.493,44.999,84.689
single_bottle_grab_top,100,100,100,100,0,0,72.237,-75.569,121.035,0.451,79.742,-98.912,0.000,0.000,0.000,0.000,-1.198,-396.506,139.003,178.492,45.001,84.687
p1,100,100,100,100,0,0,-45.584,-106.408,124.308,-106.926,-91.282,74.285,0.000,0.000,0.000,0.000,-321.003,185.191,335.517,-179.029,-1.285,-29.868
example5,100,100,100,100,0,0,-45.584,-106.409,124.308,-106.926,-91.282,74.285,0.000,0.000,0.000,0.000,-321.001,185.191,335.523,-179.029,-1.284,-29.869
test1,100,100,100,100,0,0,90.712,-135.038,148.818,4.420,94.775,-88.983,0.000,0.000,0.000,0.000,95.370,-145.307,229.070,-178.319,71.857,87.456
filler_edge,100,100,100,100,0,0,77.532,-75.010,90.577,31.621,78.513,-95.204,0.000,0.000,0.000,0.000,14.997,-497.000,313.998,173.347,43.634,84.586
single_bottle_rotate45,100,100,100,100,0,0,92.215,-134.072,131.594,45.000,95.448,-89.875,0.000,0.000,0.000,0.000,96.327,-100.229,330.786,-174.688,47.490,92.030
single_bottle_grab,100,100,100,100,0,0,72.509,-75.802,121.037,0.644,79.928,-98.714,0.000,0.000,0.000,0.000,0.502,-396.019,140.502,178.491,45.003,84.689
filler_insert,100,100,100,100,0,0,77.532,-75.817,87.873,35.128,78.510,-95.204,0.000,0.000,0.000,0.000,14.997,-497.007,339.004,173.345,43.638,84.586
